"AphiaID","scientificName","scientificNameID","match_type","acceptedNameUsageID","vernacularName","scientificNameOriginal","rank","...9","...10","...11","gbif_speciesKey","gbif_scientificName","gbif_matchType","taxonID"
"212783","Amphiprion clarkii","urn:lsid:marinespecies.org:taxname:212783","exact","212783","Clark's Anemonefish","Amphiprion clarkii","Species","NRL","3",NA,5212081,"Amphiprion clarkii (Bennett, 1830)","EXACT","212783"
"278394","Amphiprion frenatus","urn:lsid:marinespecies.org:taxname:278394","exact","278394","Tomato Clownfish","Amphiprion frenatus","Species","NRL","3",NA,5212111,"Amphiprion frenatus Brevoort, 1856","EXACT","278394"
"278400","Amphiprion ocellaris","urn:lsid:marinespecies.org:taxname:278400","exact","278400","Ocellaris Clownfish","Amphiprion ocellaris","Species","NRL","3",NA,5212106,"Amphiprion ocellaris Cuvier, 1830","EXACT","278400"
"278403","Amphiprion perideraion","urn:lsid:marinespecies.org:taxname:278403","exact","278403","Pink Skunk Clownfish","Amphiprion perideraion","Species","NRL","3",NA,5212059,"Amphiprion perideraion Bleeker, 1855","EXACT","278403"
"278405","Amphiprion sandaracinos","urn:lsid:marinespecies.org:taxname:278405","exact","278405","Orange Skunk Clownfish","Amphiprion sandaracinos","Species","NRL","3",NA,5212089,"Amphiprion sandaracinos Allen, 1972","EXACT","278405"
"398553","Amphiprion barberi","urn:lsid:marinespecies.org:taxname:398553","exact","398553","Barberi Clownfish","Amphiprion barberi","Species","NRL","3",NA,5212075,"Amphiprion barberi Allen, Drew & Kaufman, 2008","EXACT","398553"
"212778","Amphiprion bicinctus","urn:lsid:marinespecies.org:taxname:212778","exact","212778","Red Sea Clownfish","Amphiprion bicinctus","Species","NRL","3",NA,5212077,"Amphiprion bicinctus Rüppell, 1830","EXACT","212778"
"278398","Amphiprion melanopus","urn:lsid:marinespecies.org:taxname:278398","exact","278398","Fire Clownfish","Amphiprion melanopus","Species","NRL","3",NA,5212069,"Amphiprion melanopus Bleeker, 1852","EXACT","278398"
"278402","Amphiprion percula","urn:lsid:marinespecies.org:taxname:278402","exact","278402","Orange Clownfish","Amphiprion percula","Species","NRL","3",NA,5212094,"Amphiprion percula (Lacepède, 1802)","EXACT","278402"
"1605249","Premnas biaculeatus","urn:lsid:marinespecies.org:taxname:212768","exact","1605249","Maroon Clownfish","Premnas biaculeatus","Species","NRL","3",NA,2398709,"Premnas biaculeatus (Bloch, 1790)","EXACT","1605249"
